[2018-04-24 23:23:42] [INFO   ] Socket Opened on port: 5004 
[2018-04-24 23:23:47] [INFO   ] Peer: 1001makes a connection to Peer: 1002 
[2018-04-24 23:23:47] [INFO   ] Peer: 1001is connected from Peer: 1002 
[2018-04-24 23:23:47] [INFO   ] Constructing BITFIELD Message 
[2018-04-24 23:23:47] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:47] [INFO   ] Peer 1001 is connected from Peer 1004. 
[2018-04-24 23:23:47] [INFO   ] Peer 1001 received the 'interested' message from 1002. 
[2018-04-24 23:23:48] [INFO   ] Constructing UNCHOKE Message 
[2018-04-24 23:23:48] [INFO   ] Peer 1001 with preferred neighbours:[1002] 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 335 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:335 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 791 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:791 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 795 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:795 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 71 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:71 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 423 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:423 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 567 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:567 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 790 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:790 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 183 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:183 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 39 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:39 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 334 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:334 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 111 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:111 
